dimensions.code,dimensions.label,land,land_code,fylke,fylke_code,kommune,kommune_code,bydel,bydel_code,region_code,region_navn,region_level
GEO,Geografi,Hele landet,0,Telemark,40,Vinje,4036,,,4036,Vinje,kommune
GEO,Geografi,Hele landet,0,Agder,42,,,,,42,Agder,fylke
GEO,Geografi,Hele landet,0,Agder,42,Risør,4201,,,4201,Risør,kommune
GEO,Geografi,Hele landet,0,Agder,42,Grimstad,4202,,,4202,Grimstad,kommune
GEO,Geografi,Hele landet,0,Agder,42,Arendal,4203,,,4203,Arendal,kommune
GEO,Geografi,Hele landet,0,Agder,42,Kristiansand,4204,,,4204,Kristiansand,kommune
GEO,Geografi,Hele landet,0,Agder,42,Lindesnes,4205,,,4205,Lindesnes,kommune
GEO,Geografi,Hele landet,0,Agder,42,Farsund,4206,,,4206,Farsund,kommune
GEO,Geografi,Hele landet,0,Agder,42,Flekkefjord,4207,,,4207,Flekkefjord,kommune
GEO,Geografi,Hele landet,0,Agder,42,Gjerstad,4211,,,4211,Gjerstad,kommune
GEO,Geografi,Hele landet,0,Agder,42,Vegårshei,4212,,,4212,Vegårshei,kommune
GEO,Geografi,Hele landet,0,Agder,42,Tvedestrand,4213,,,4213,Tvedestrand,kommune
GEO,Geografi,Hele landet,0,Agder,42,Froland,4214,,,4214,Froland,kommune
GEO,Geografi,Hele landet,0,Agder,42,Lillesand,4215,,,4215,Lillesand,kommune
GEO,Geografi,Hele landet,0,Agder,42,Birkenes,4216,,,4216,Birkenes,kommune
GEO,Geografi,Hele landet,0,Agder,42,Åmli,4217,,,4217,Åmli,kommune
GEO,Geografi,Hele landet,0,Agder,42,Iveland,4218,,,4218,Iveland,kommune
GEO,Geografi,Hele landet,0,Agder,42,Evje og Hornnes,4219,,,4219,Evje og Hornnes,kommune
GEO,Geografi,Hele landet,0,Agder,42,Bygland,4220,,,4220,Bygland,kommune
